roll_no,ktsem1,ktsem2,ktsem3,ktsem4,result
0801EE221030,0,0,3,4,SEM BACK
0801EE221033,0,0,0,1,Can Go To Next Sem
0801EE221037,0,0,0,4,Can Go To Next Sem
0801EE221039,0,0,2,2,Can Go To Next Sem
0801EE221040,0,0,0,1,Can Go To Next Sem
0801EE221046,0,0,0,1,Can Go To Next Sem
0801EE221048,0,0,1,1,Can Go To Next Sem
0801EE221051,0,0,2,1,Can Go To Next Sem
0801EE221059,0,0,0,1,Can Go To Next Sem
0801EE221061,0,0,5,3,SEM BACK
0801EE221068,0,0,1,1,Can Go To Next Sem
0801EE221071,0,0,3,1,Can Go To Next Sem
0801EE221072,0,0,0,1,Can Go To Next Sem
0801EE221079,0,0,0,3,Can Go To Next Sem
0801EE221080,0,0,0,1,Can Go To Next Sem
0801EE221086,0,0,2,3,Can Go To Next Sem
0801EE221089,0,0,2,3,Can Go To Next Sem
0801EE221092,0,0,0,3,Can Go To Next Sem
0801EE221093,0,0,0,1,Can Go To Next Sem
0801EE221095,0,0,0,1,Can Go To Next Sem
0801EE221098,0,0,3,4,SEM BACK
0801EE221102,0,0,1,4,Can Go To Next Sem
0801EE221103,0,0,2,3,Can Go To Next Sem
0801EE221105,0,0,3,5,SEM BACK
0801EE221110,0,0,1,0,Can Go To Next Sem
0801EE221112,0,0,1,2,Can Go To Next Sem
0801EE221113,0,0,0,2,Can Go To Next Sem
0801EE221116,0,0,0,1,Can Go To Next Sem
0801EE221118,0,0,3,3,SEM BACK
0801EE221119,0,0,3,1,Can Go To Next Sem
0801EE223D08,0,0,0,1,Can Go To Next Sem
0801EE233D02,0,0,2,1,Can Go To Next Sem
0801EE233D06,0,0,0,1,Can Go To Next Sem
0801EE233D07,0,0,0,1,Can Go To Next Sem
0801EE233D08,0,0,0,1,Can Go To Next Sem
0801EI191042,0,0,3,0,Can Go To Next Sem
0801EI201024,0,0,0,4,Can Go To Next Sem
0801EI211024,0,0,1,2,Can Go To Next Sem
0801EI211048,0,0,4,0,Can Go To Next Sem
0801EI211059,0,0,3,1,Can Go To Next Sem
0801EI213D03,0,0,0,2,Can Go To Next Sem
0801EI221008,0,0,0,2,Can Go To Next Sem
0801EI221012,0,0,1,5,SEM BACK
0801EI221014,0,0,3,3,SEM BACK
0801EI221015,0,0,4,3,SEM BACK
0801EI221016,0,0,0,1,Can Go To Next Sem
0801EI221023,0,0,3,5,SEM BACK
0801EI221024,0,0,0,2,Can Go To Next Sem
0801EI221025,0,0,5,6,SEM BACK
0801EI221028,0,0,2,2,Can Go To Next Sem
0801EI221033,0,0,1,2,Can Go To Next Sem
0801EI221036,0,0,0,5,Can Go To Next Sem
0801EI221050,0,0,0,1,Can Go To Next Sem
0801EI221054,0,0,0,2,Can Go To Next Sem
0801EI221055,0,0,0,1,Can Go To Next Sem
0801EI221056,0,0,1,1,Can Go To Next Sem
0801EI221061,0,0,0,4,Can Go To Next Sem
0801EI221066,0,0,3,4,SEM BACK
0801EI221067,0,0,1,1,Can Go To Next Sem
0801EI221068,0,0,1,3,Can Go To Next Sem
0801EI221072,0,0,2,2,Can Go To Next Sem
0801EI221074,0,0,1,1,Can Go To Next Sem
0801EI221077,0,0,0,4,Can Go To Next Sem
0801EI221080,0,0,2,3,Can Go To Next Sem
0801EI221082,0,0,0,1,Can Go To Next Sem
0801EI221084,0,0,0,2,Can Go To Next Sem
0801EI221091,0,0,0,2,Can Go To Next Sem
0801EI221095,0,0,2,3,Can Go To Next Sem
0801EI221100,0,0,0,5,Can Go To Next Sem
0801EI221110,0,0,0,1,Can Go To Next Sem
0801EI221112,0,0,0,1,Can Go To Next Sem
0801EI221115,0,0,0,2,Can Go To Next Sem
0801EI223D01,0,0,1,1,Can Go To Next Sem
0801EI223D05,0,0,2,3,Can Go To Next Sem
0801EI233D03,0,0,0,3,Can Go To Next Sem
0801EI233D04,0,0,0,2,Can Go To Next Sem
0801EI233D06,0,0,0,2,Can Go To Next Sem
0801EI233D07,0,0,3,4,SEM BACK
0801EI233D08,0,0,2,5,SEM BACK
0801EI233D09,0,0,5,9,SEM BACK
0801IP201011,0,0,0,2,Can Go To Next Sem
0801IP201019,0,0,0,1,Can Go To Next Sem
0801IP211006,0,0,1,1,Can Go To Next Sem
0801IP211007,0,0,4,0,Can Go To Next Sem
0801IP211012,0,0,2,3,Can Go To Next Sem
0801IP211024,0,0,0,2,Can Go To Next Sem
0801IP211026,0,0,0,2,Can Go To Next Sem
0801IP211044,0,0,0,1,Can Go To Next Sem
0801IP211051,0,0,2,1,Can Go To Next Sem
0801IP213D01,0,0,0,8,SEM BACK
0801IP221006,0,0,0,3,Can Go To Next Sem
0801IP221011,0,0,0,3,Can Go To Next Sem
0801IP221014,0,0,0,3,Can Go To Next Sem
0801IP221024,0,0,0,1,Can Go To Next Sem
0801IP221026,0,0,0,1,Can Go To Next Sem
0801IP221033,0,0,0,4,Can Go To Next Sem
0801IP221035,0,0,0,4,Can Go To Next Sem
0801IP221043,0,0,0,1,Can Go To Next Sem
0801IP221044,0,0,0,2,Can Go To Next Sem
0801IP221047,0,0,2,1,Can Go To Next Sem
0801IP221048,0,0,0,3,Can Go To Next Sem
